Date,Close,High,Low,Open,Volume,Predicted Opening Price
01/01/2020,1944.477173,1959.09915,1932.277008,1944.835911,1354908,
02/01/2020,1935.550903,1955.555483,1927.970753,1955.555483,2380752,
03/01/2020,1974.124634,1994.17411,1941.247312,1941.247312,4655761,
06/01/2020,1973.945313,1996.820455,1962.68711,1978.026999,3023209,
07/01/2020,1978.789673,1986.683665,1959.009358,1973.990291,2429317,
08/01/2020,2023.10437,2027.365426,1975.380591,1978.026887,5197454,
09/01/2020,1986.414917,2020.144412,1982.512599,2017.273849,3734173,
10/01/2020,1985.697021,2004.041945,1980.71827,1998.659559,1915807,
13/01/2020,1964.885376,1990.54129,1959.81683,1989.55465,2843893,
14/01/2020,1979.731934,2000.274846,1969.056952,1969.056952,2948452,
15/01/2020,1997.672363,2001.350414,1968.338405,1985.203257,2620681,
16/01/2020,2008.348267,2017.498282,1986.998085,1997.717964,3117214,
17/01/2020,1990.675537,2021.579359,1985.203357,2010.096892,3281059,
20/01/2020,1946.944092,2011.398047,1934.250497,1968.966851,5817599,
21/01/2020,1947.571777,1961.476276,1935.90994,1946.584919,1902980,
22/01/2020,1979.731934,1982.512922,1949.94943,1956.498046,1773686,
23/01/2020,1969.88623,1993.982193,1963.367745,1986.83438,2069866,
24/01/2020,1963.098022,1969.886282,1951.050151,1969.886282,1319430,
27/01/2020,1950.375854,1972.134066,1946.554673,1968.762436,1549101,
28/01/2020,1963.41272,1967.054124,1934.86625,1954.646481,1743024,
29/01/2020,1937.204102,1966.289902,1933.068147,1964.536698,2306761,
30/01/2020,1922.144043,1946.554559,1910.590502,1942.059051,2098567,
31/01/2020,1869.2771,1927.988474,1862.578837,1923.537746,3287223,
03/02/2020,1890.360474,1973.257569,1881.998788,1934.865988,4728073,
04/02/2020,1895.080566,1921.109502,1876.064664,1914.186467,3509339,
05/02/2020,1929.966064,1939.091855,1891.979032,1901.599373,2439322,
06/02/2020,1913.602417,1954.826082,1902.048877,1928.572366,2640065,
07/02/2020,1920.975708,1933.967683,1905.19643,1923.178463,2083442,
10/02/2020,1943.812378,1948.352884,1905.196014,1924.886248,2383032,
11/02/2020,1936.125,1955.365903,1930.910387,1944.756462,1335820,
12/02/2020,1951.724365,1964.53656,1933.068011,1934.057111,1620407,
13/02/2020,1970.784912,1975.325417,1951.948785,1953.701989,1645948,
14/02/2020,1963.817261,1988.812324,1951.949166,1967.23389,1500115,
17/02/2020,1980.945557,1993.308203,1969.212237,1975.281173,1774724,
18/02/2020,1992.183716,1996.903998,1965.480451,1977.977871,2486223,
19/02/2020,1974.741455,2004.996129,1969.481624,1992.183935,1760463,
20/02/2020,1939.182007,1990.970117,1934.19195,1982.069101,2317278,
24/02/2020,1901.914307,1959.097026,1894.136948,1938.462692,3092877,
25/02/2020,1938.597412,1957.028991,1898.003071,1902.049028,2674567,
26/02/2020,1909.331787,1945.565397,1899.756226,1936.664381,2686842,
27/02/2020,1893.057861,1906.049832,1875.705162,1906.049832,2349001,
28/02/2020,1798.337769,1860.690432,1789.211867,1859.341779,4298076,
02/03/2020,1799.371704,1846.709306,1785.345634,1829.671378,2667076,
03/03/2020,1830.750366,1852.149025,1808.992155,1816.184966,2757585,
04/03/2020,1873.008179,1883.12307,1820.680516,1848.552662,3237002,
05/03/2020,1910.635376,1931.044933,1873.77222,1875.25565,3937056,
06/03/2020,1902.903564,1909.377052,1862.578989,1886.315184,2595027,
09/03/2020,1773.342896,1870.0412,1739.761475,1865.63569,4940975,
11/03/2020,1756.574341,1786.784235,1726.274668,1737.962986,6796449,
12/03/2020,1591.274536,1715.845075,1580.93487,1711.889007,8728786,
13/03/2020,1624.046753,1636.364397,1354.091582,1517.593135,8029720,
16/03/2020,1525.235596,1656.369509,1506.759019,1577.922914,7844271,
17/03/2020,1490.710083,1556.344484,1459.376422,1555.445382,5713248,
18/03/2020,1487.473511,1540.655385,1463.512434,1507.613406,7258778,
19/03/2020,1481.994019,1526.462422,1400.845957,1412.574347,5135111,
20/03/2020,1627.897827,1692.698613,1473.526294,1476.243306,8547498,
23/03/2020,1512.198242,1584.92364,1465.148696,1467.186455,7003490,
24/03/2020,1542.493286,1603.037359,1478.824583,1497.1192,6350865,
25/03/2020,1585.19519,1639.263677,1521.526507,1539.639918,2765520,
26/03/2020,1622.010864,1659.234018,1560.063078,1658.8264,4556067,
27/03/2020,1652.39624,1675.490844,1585.286062,1648.320722,4331250,
30/03/2020,1610.735229,1725.302565,1597.195498,1599.414347,8513547,
31/03/2020,1653.845215,1680.01912,1612.093818,1664.079338,3927593,
01/04/2020,1547.564697,1661.679197,1541.45142,1653.664034,4941878,
03/04/2020,1498.1604,1575.866989,1494.356628,1575.866989,5735369,
07/04/2020,1607.74646,1617.391874,1544.168426,1548.696779,5427577,
08/04/2020,1544.575806,1635.641024,1540.545616,1593.980179,6285615,
09/04/2020,1599.550293,1611.007049,1567.897036,1585.331197,5307397,
13/04/2020,1593.301147,1618.433509,1581.301011,1594.886071,2990438,
15/04/2020,1571.474487,1641.075256,1564.81783,1616.622148,4761399,
16/04/2020,1554.17627,1598.418262,1517.04377,1548.65159,6245533,
17/04/2020,1635.822266,1677.256697,1587.640632,1630.207152,9895823,
20/04/2020,1647.098022,1657.377363,1632.471419,1657.377363,3244282,
21/04/2020,1573.738647,1625.316547,1564.727158,1598.508718,5122541,
22/04/2020,1602.584229,1621.150477,1556.983733,1573.73864,3829836,
23/04/2020,1701.075684,1720.774018,1594.749941,1612.093553,5934366,
24/04/2020,1647.00769,1677.257007,1637.271729,1667.06821,2987102,
27/04/2020,1663.355103,1698.132886,1652.849343,1659.460784,3374741,
28/04/2020,1683.687012,1691.79272,1659.731957,1689.075708,2678505,
29/04/2020,1725.891235,1732.140385,1675.535971,1697.226738,4241510,
30/04/2020,1824.428101,1840.322664,1758.9934,1793.227793,5915544,
04/05/2020,1748.351685,1780.548317,1733.136486,1780.548317,3729348,
05/05/2020,1750.434937,1790.510863,1745.22733,1770.676653,2905528,
06/05/2020,1724.034424,1769.408496,1714.977718,1756.819764,3517431,
07/05/2020,1713.211792,1751.974427,1705.694682,1729.830825,3166754,
08/05/2020,1714.796875,1756.548271,1708.321308,1756.185981,2686530,
11/05/2020,1752.744263,1767.325536,1728.925083,1728.925083,2449841,
12/05/2020,1765.60498,1771.944675,1730.057406,1751.023705,3256595,
13/05/2020,1765.740723,1805.907192,1744.004628,1805.907192,2656665,
14/05/2020,1722.902344,1741.695008,1712.71355,1729.830746,2263146,
15/05/2020,1714.343872,1736.532801,1689.256731,1735.26484,3173682,
18/05/2020,1762.072876,1768.729533,1695.50608,1727.114009,3727694,
19/05/2020,1764.835205,1780.956077,1723.491316,1723.491316,3198693,
20/05/2020,1769.318237,1777.741019,1749.484027,1766.057845,2778505,
21/05/2020,1803.371094,1809.529698,1758.042351,1762.434831,3400908,
22/05/2020,1829.771484,1840.322568,1776.246377,1790.601233,3663418,
26/05/2020,1759.717896,1833.077211,1743.415825,1824.926176,4575317,
27/05/2020,1816.141602,1820.39821,1758.133346,1774.209002,3482160,
28/05/2020,1815.235718,1824.020679,1785.348586,1800.926077,3475681,
29/05/2020,1786.299561,1813.741427,1777.288181,1795.039305,7237735,
01/06/2020,1852.322998,1865.681641,1794.224201,1802.284692,3747773,
02/06/2020,1854.043579,1884.700507,1847.61334,1865.862514,2443886,
03/06/2020,1858.585571,1874.57221,1834.832641,1863.763136,3699799,
04/06/2020,1899.823608,1907.498977,1859.130253,1859.130253,4048593,
05/06/2020,1860.492676,1905.682233,1853.271474,1899.868992,3573289,
08/06/2020,1881.838501,1902.957239,1873.073178,1887.742664,2957841,
09/06/2020,1882.11145,1903.411815,1871.393076,1873.981914,2909439,
10/06/2020,1915.447021,1936.565762,1883.428286,1886.652913,5168397,
11/06/2020,1878.114136,1912.040453,1872.800522,1907.498789,2269513,
12/06/2020,1852.544922,1861.355707,1826.657435,1826.839057,2842642,
