Date,Close,High,Low,Open,Volume,Predicted Opening Price
01/01/2020,671.0742188,678.8536456,669.2516658,674.8083484,14004468,
02/01/2020,682.4989624,685.0106186,672.1412292,672.1412292,17710316,
03/01/2020,683.3212891,685.3217115,677.0310508,681.4764208,20984698,
06/01/2020,667.4735107,679.2092705,665.9176135,675.6974628,24519177,
07/01/2020,677.7423096,682.1432267,672.807903,675.2528503,16683622,
08/01/2020,672.6524048,682.1210275,671.2521209,673.474806,16047902,
09/01/2020,688.1444702,689.0335204,680.6984674,683.9658158,14982742,
10/01/2020,687.9888916,692.5676189,684.4325721,689.878153,12478359,
13/01/2020,686.2330322,692.9010873,683.8769897,686.8331708,18282382,
14/01/2020,679.8761597,689.033615,676.5199058,684.5882449,15816535,
15/01/2020,677.4089355,684.5437716,674.9195355,682.7434151,15817859,
16/01/2020,683.6546631,686.0774141,679.2537456,679.6983301,12847975,
17/01/2020,702.81427,704.5701739,690.4561157,690.5894732,29463471,
20/01/2020,681.187561,715.2613936,678.5425473,715.2613936,32545850,
21/01/2020,681.8765869,687.1888108,676.5865596,679.5205443,18922720,
22/01/2020,681.6320801,687.5888952,680.6318688,686.3664213,10322817,
23/01/2020,678.7426147,685.4551227,676.008696,683.0323715,11247739,
24/01/2020,676.3865356,682.9656857,675.0529009,678.8092273,14628445,
27/01/2020,669.7183838,677.6756206,669.0293402,673.4303168,13387750,
28/01/2020,654.2484741,671.2520635,650.6255056,670.629669,24532236,
29/01/2020,657.8493042,664.3172933,650.8255697,655.2709397,24746565,
30/01/2020,641.8015137,657.7826384,640.1345146,657.4714708,22402689,
31/01/2020,627.5317993,646.024579,625.5536328,645.9134181,34750310,
03/02/2020,615.9071045,622.3307,605.9272487,608.9723348,30712290,
04/02/2020,634.0887451,636.8004078,621.3749703,622.3529256,25383901,
05/02/2020,643.9129639,645.8244812,635.8224288,637.8672443,18472100,
06/02/2020,648.0471802,652.13693,640.1789075,646.4024372,15538577,
07/02/2020,637.3117065,645.6245647,634.9334078,645.024426,12209212,
10/02/2020,638.1785278,642.5794455,626.9983938,634.800018,15142476,
11/02/2020,645.8023682,651.7813801,642.3794057,643.4240695,13999816,
12/02/2020,653.6038818,655.62656,646.8024698,647.3137034,13533565,
13/02/2020,655.3153687,656.9157184,650.1809552,656.9157184,13565659,
14/02/2020,661.2944946,667.4513164,645.957902,656.6935109,21227841,
17/02/2020,657.1380615,669.5406699,655.3821574,661.9168555,13149130,
18/02/2020,652.3146973,656.0932793,647.8693276,656.0932793,11127161,
19/02/2020,668.4959106,669.6739319,655.7376839,657.6269453,14084409,
20/02/2020,660.5609131,670.3629586,659.6051545,665.4730638,16892268,
24/02/2020,642.3348999,656.5823162,639.9344048,653.3594199,21370214,
25/02/2020,629.6434326,645.202229,626.7983528,645.202229,27745062,
26/02/2020,618.7966309,627.8429847,616.7295593,626.7983209,29362748,
27/02/2020,616.2405396,619.5967932,608.5722142,617.0184288,25054993,
28/02/2020,590.6351929,603.2378672,589.0126463,602.304305,39315769,
02/03/2020,585.0784302,608.5722054,578.3881195,602.3931283,29500495,
03/03/2020,596.9475708,601.8597218,587.6789548,591.101917,27398798,
04/03/2020,595.5473633,601.8153464,581.411047,601.0152011,22105261,
05/03/2020,582.8557129,603.6600804,580.5663197,601.1039721,30510390,
06/03/2020,565.0075684,572.631442,551.7159098,564.5630432,33734039,
09/03/2020,495.2817993,551.6714146,486.7689057,551.249086,88187018,
11/03/2020,512.7966309,523.8656042,492.5479162,492.5479162,59578576,
12/03/2020,472.5436401,489.4360683,466.1867533,482.3234888,55970485,
13/03/2020,491.3476563,506.7730944,418.9324615,443.6487425,73297403,
16/03/2020,451.5170593,479.9674692,446.760492,471.4545755,38482258,
17/03/2020,448.0941162,471.2100756,445.9603363,465.5422022,45445979,
18/03/2020,430.5348816,460.4967365,427.200854,455.7846216,44730415,
19/03/2020,407.9523315,429.8680429,396.6166147,409.0192215,61404010,
20/03/2020,452.5172729,460.0521818,413.4201594,417.6432669,63360475,
23/03/2020,392.9936523,422.3109151,389.2595226,407.2855208,40670949,
24/03/2020,419.3769836,431.201679,398.2169931,413.4201686,45734887,
25/03/2020,481.1010437,511.9074965,428.2010682,428.445557,73130298,
26/03/2020,473.9661865,496.504263,463.3639656,487.1245159,45744488,
27/03/2020,473.6994934,492.236726,465.0754683,486.7689184,41657940,
30/03/2020,458.0740051,477.7892597,453.4285985,462.5860838,30229866,
31/03/2020,495.1039734,502.2387796,465.8756161,477.4113693,44292810,
01/04/2020,480.3008728,499.9271909,464.6309173,498.8825272,41597459,
03/04/2020,478.9672546,504.3059291,469.565281,504.3059291,41367807,
07/04/2020,536.1571045,539.6689126,488.9916203,489.9251528,54373624,
08/04/2020,529.9556885,546.3369425,515.6638211,524.5545603,49880330,
09/04/2020,542.3139038,548.0262002,530.3336249,539.6688902,33032857,
13/04/2020,528.6221313,540.1134317,524.5545783,535.2012809,23673784,
15/04/2020,511.151825,549.4487654,508.1067386,532.134006,35321842,
16/04/2020,519.2423706,527.8663953,508.9957996,511.1517761,37455706,
17/04/2020,544.1142578,546.7815273,530.178009,540.5579974,33269335,
20/04/2020,552.9161987,558.7840497,534.3345123,545.0034132,36030932,
21/04/2020,550.0488892,556.5613309,517.4420497,537.8907406,61371628,
22/04/2020,606.1717529,615.6404352,577.8991824,586.7899226,142683366,
23/04/2020,609.4168091,616.0626666,601.5929304,607.8387154,65464502,
