Date,Close,High,Low,Open,Volume
02/01/2020,72.73184967,72.73184967,72.33831627,72.49479316,2500
03/01/2020,72.23994446,72.43858415,72.21370889,72.21370889,1200
06/01/2020,72.41233826,72.41233826,71.63276319,71.63276319,3200
07/01/2020,72.17056274,72.29799459,72.17056274,72.25114234,2800
08/01/2020,72.54351044,72.7009238,72.31676228,72.31676228,900
09/01/2020,73.02886963,73.07571475,72.97264547,73.04760625,1800
10/01/2020,72.84616852,73.20690392,72.84616852,73.20690392,3600
13/01/2020,73.31932831,73.31932831,73.0129299,73.0129299,900
14/01/2020,73.24812317,73.49736096,73.24812317,73.36618317,2200
15/01/2020,73.26686859,73.51704288,73.2631227,73.33807633,2000
16/01/2020,73.86090851,73.86090851,73.61166359,73.61166359,4900
17/01/2020,74.11952972,74.11952972,73.98835192,74.05956681,5600
21/01/2020,73.95553589,74.13637534,73.86277498,73.99395274,2400
22/01/2020,74.14576721,74.4156146,74.14576721,74.29287221,5400
23/01/2020,74.11672211,74.15326603,73.71288031,74.15326603,6500
24/01/2020,73.49266815,74.424974,73.18721337,74.424974,10700
27/01/2020,72.36734772,72.58847699,72.21368028,72.21368028,3000
28/01/2020,73.18251801,73.24811404,72.65031515,72.65031515,3200
29/01/2020,73.07571411,73.58168864,73.07571411,73.58168864,2600
30/01/2020,73.32025909,73.32025909,72.62408045,72.64469001,8000
31/01/2020,72.22398376,73.47860796,71.99816499,73.47860796,2400
03/02/2020,72.7946167,72.94640404,72.37296771,72.37296771,600
04/02/2020,73.96678162,74.1991557,73.73159811,73.73159811,8000
05/02/2020,74.58802032,74.58802032,74.32191882,74.32191882,700
06/02/2020,74.91126251,74.91126251,74.80912972,74.80912972,2400
07/02/2020,74.60205841,74.84660664,74.593623,74.593623,2100
10/02/2020,75.12773132,75.12773132,74.5374312,74.5374312,3100
11/02/2020,75.21955109,75.21955109,75.21955109,75.21955109,700
12/02/2020,75.66459656,75.66459656,75.42754012,75.42754012,1700
13/02/2020,75.6158905,75.6158905,75.36197033,75.36197033,1100
14/02/2020,75.67116547,75.6805302,75.4978178,75.61587779,7900
18/02/2020,75.45940399,75.58683587,75.45940399,75.50251037,1800
19/02/2020,75.99723816,76.09843448,75.91477845,75.91477845,6000
20/02/2020,75.65616608,76.05531818,75.22139939,76.05531818,9200
21/02/2020,74.74728394,75.02463016,74.61235314,74.95904128,4500
24/02/2020,72.24462128,72.63909835,72.12749771,72.54164789,5200
25/02/2020,70.01082611,72.42919396,69.81874181,72.42919396,7500
26/02/2020,69.85341644,70.27412184,69.77751919,70.27412184,1400
27/02/2020,66.76699066,69.05136471,66.76699066,68.38610376,8100
28/02/2020,65.52546692,65.52546692,63.91197291,64.45542785,6300
02/03/2020,69.11225891,69.11225891,66.16074434,66.98529147,10000
03/03/2020,67.21952057,69.61821483,67.21952057,69.61821483,2800
04/03/2020,69.82341766,69.82341766,68.59690194,68.59690194,600
05/03/2020,67.51470184,68.41889225,67.51470184,67.9035529,600
06/03/2020,66.66951752,66.66951752,65.12067622,65.77656507,4800
09/03/2020,61.47954941,63.09678928,59.96725176,60.81991456,10600
10/03/2020,64.14997101,64.14997101,61.18534548,63.34041452,4500
11/03/2020,61.53670502,62.6657704,60.9042351,62.32845407,15200
12/03/2020,55.92038727,57.78405514,55.92038727,57.21249539,12100
13/03/2020,60.1199646,60.1199646,56.21928156,58.45868237,16200
16/03/2020,53.95647049,57.37179328,53.94803865,53.94803865,7800
17/03/2020,56.75806808,56.90330013,53.51140342,55.54466635,42700
18/03/2020,54.15792084,55.11083987,51.78734168,55.0480604,3100
19/03/2020,54.80819321,55.8576191,53.1553459,54.00800511,8400
20/03/2020,52.35069275,55.54572789,52.35069275,55.50804975,3800
23/03/2020,51.27312469,52.07471047,49.9789132,51.47658523,25900
24/03/2020,55.5438385,55.5438385,53.61287884,53.90676185,9400
25/03/2020,56.26819229,57.94765796,54.99940975,54.99940975,3400
26/03/2020,59.77500534,65.3041489,56.92095246,56.92095246,48700
27/03/2020,57.51436615,58.12661976,57.4484312,57.93823265,17800
30/03/2020,59.37844467,59.37844467,58.85190294,58.85190294,9800
31/03/2020,58.37058258,59.58661348,58.37058258,59.58001998,1900
01/04/2020,55.86597443,56.62611262,55.86597443,56.62611262,1500
02/04/2020,57.16396332,57.16396332,55.63991746,55.63991746,7800
