Date,Close,High,Low,Open,Volume
13/03/2020,965.9342651,974.2022843,817.6152322,872.7353602,8117911
16/03/2020,889.9144287,957.2528368,883.6674924,931.759779,6671806
17/03/2020,878.9364014,923.2621723,863.6865212,892.946101,4720207
18/03/2020,830.9818726,895.4724351,826.8019406,889.2714206,5586097
19/03/2020,774.5296021,812.1031764,769.5688244,802.8246445,7251950
20/03/2020,794.3729248,806.4074637,763.6893644,779.9498134,6130185
23/03/2020,665.1621704,744.0758471,648.5802089,743.2031005,7308612
24/03/2020,659.4332275,704.007126,625.9911197,703.3084752,7110384
25/03/2020,713.3223877,721.9390799,615.7441701,649.465723,16122446
26/03/2020,780.6257935,784.6313798,702.5166601,733.8161919,9028497
27/03/2020,779.7409058,829.0656666,756.405979,808.4787779,6573448
30/03/2020,743.9699097,759.2004731,736.8436494,746.1589926,4474168
31/03/2020,753.1455688,766.6528178,737.030035,763.8582145,8045468
01/04/2020,721.3336182,756.7785465,714.0676614,751.6084853,4104403
03/04/2020,721.6130981,736.9367925,710.5743821,736.9367925,4268480
07/04/2020,746.7645874,757.3374803,736.8437231,749.885205,5768998
08/04/2020,751.8414307,775.0366612,743.085041,748.9536966,6151091
09/04/2020,757.1511841,777.22574,749.3263289,777.22574,6410296
13/04/2020,806.1964722,812.6706477,752.6332432,757.1511624,9462711
15/04/2020,819.8900146,863.1597415,809.5033835,829.9505747,10435477
16/04/2020,849.2333984,856.82537,810.574719,815.9776074,6980512
17/04/2020,869.0284424,875.6423137,853.2854887,866.3269699,5827648
20/04/2020,852.9129639,878.4370319,848.6279279,876.3876446,4958362
21/04/2020,810.7608643,844.528983,803.9141098,835.5862764,5122305
22/04/2020,794.2261963,824.8737004,791.8042296,813.2295205,6090168
23/04/2020,783.0479126,809.9692836,777.8313419,801.1197054,6321888
24/04/2020,792.9221191,809.5034206,777.0394685,780.6258533,7960368
27/04/2020,796.6947632,814.9994361,793.9001601,802.9360548,4224177
28/04/2020,798.4646606,808.2923363,793.7603669,804.6593297,3772704
29/04/2020,815.4186401,822.5914666,795.5304028,802.9826782,4837925
30/04/2020,836.0987549,854.0307935,823.5696048,829.2519992,6332497
04/05/2020,792.40979,819.750303,787.1465977,819.750303,4678576
05/05/2020,779.6011353,810.2485818,777.8311972,802.0510908,4296433
06/05/2020,779.9738159,789.9412463,761.6225751,780.6259014,5081524
07/05/2020,766.5130615,778.809327,763.9513419,775.9681585,3529134
08/05/2020,760.0855713,777.6915389,754.5429298,775.9682228,4394509
11/05/2020,765.3486328,770.8447085,760.4580773,764.9760532,2882920
12/05/2020,759.0142822,763.159622,748.9537212,761.0636695,3024381
13/05/2020,803.821167,812.2515431,792.2701161,804.5663832,8625444
14/05/2020,811.9719849,819.3776379,783.8861999,800.0949212,6778584
15/05/2020,805.2183838,824.4079703,795.530403,821.5668017,5653901
18/05/2020,757.6635132,810.4349619,754.5428956,810.3418312,6211249
19/05/2020,741.8275146,776.7134948,737.4959131,770.472202,5533176
20/05/2020,777.8312378,783.4204443,745.2275332,745.2275332,5949898
21/05/2020,764.3240356,787.1466302,762.0883302,778.7162546,4701930
22/05/2020,759.8526611,769.9132218,754.6360341,759.2005756,4607479
26/05/2020,769.0281982,785.0040356,764.7897282,765.6281319,4335209
27/05/2020,792.5959473,798.5112243,770.3788766,774.9899829,5159287
28/05/2020,843.5043945,849.5593681,796.4619076,796.4619076,11481079
29/05/2020,868.4230347,873.3135908,829.9972367,832.0466239,10166556
01/06/2020,864.6036987,907.4542823,860.7378081,879.9740167,7617144
02/06/2020,880.7192993,887.7523734,850.5375589,870.9847525,7325471
03/06/2020,895.4840088,906.2432198,889.6153534,890.5003225,4651554
04/06/2020,866.979126,901.7253497,865.0228695,895.2511739,5355931
05/06/2020,889.8482666,894.1799245,872.4751267,875.6423665,6071040
08/06/2020,895.5305786,926.8767341,884.0261514,912.4379508,9858804
09/06/2020,888.0317993,903.82132,884.678298,898.4649968,5117749
10/06/2020,881.7438354,893.8072168,871.6367104,891.4783809,5175923
11/06/2020,866.7461548,886.8207088,864.6502025,879.368434,3602957
12/06/2020,862.9735107,866.2338812,829.0656351,829.0656351,5411314
15/06/2020,838.2879028,865.8147354,832.8849574,858.6884739,4982324
16/06/2020,833.7698975,861.3899166,830.1369472,857.0116933,4661460
17/06/2020,824.2216797,838.1481313,820.7749908,831.5808247,4681085
18/06/2020,835.260437,838.3810549,814.1611577,816.0242267,5869802
19/06/2020,836.7041626,853.1923319,833.816372,840.2439817,5409996
22/06/2020,845.3209839,853.2855924,834.6549026,843.038713,6839642
