Date,Close,High,Low,Open,Volume,Predicted Opening Price
01/01/2020,1227.428589,1228.772582,1219.74876,1225.028642,1836849,
02/01/2020,1235.252441,1236.452415,1227.812607,1227.812607,3068583,
03/01/2020,1217.636841,1233.572462,1213.028897,1230.884475,5427775,
06/01/2020,1191.2854,1211.301048,1186.533553,1209.57304,5445093,
07/01/2020,1210.148926,1220.56467,1202.133128,1208.517009,7362247,
08/01/2020,1206.980957,1211.636829,1190.421329,1197.045086,5666055,
09/01/2020,1220.516724,1224.740653,1212.548855,1214.372838,4773158,
10/01/2020,1231.364502,1235.396482,1224.068688,1232.708495,4607290,
13/01/2020,1234.532471,1244.612246,1224.932685,1231.364494,3725784,
14/01/2020,1237.892334,1240.820315,1226.372591,1237.412345,3943145,
15/01/2020,1232.852417,1236.404291,1223.108612,1234.916394,5893724,
16/01/2020,1236.116333,1239.332238,1228.148465,1230.740477,3575200,
17/01/2020,1226.996704,1233.47656,1220.996838,1230.452604,8459407,
20/01/2020,1204.677124,1252.628006,1202.373152,1252.628006,11089225,
21/01/2020,1194.549316,1199.973219,1188.837491,1199.973219,7492402,
22/01/2020,1191.189331,1204.773051,1184.997516,1198.101247,9184155,
23/01/2020,1195.029297,1196.949254,1181.733617,1190.373424,5754460,
24/01/2020,1194.741211,1203.81296,1189.509258,1196.133133,5915878,
27/01/2020,1164.645874,1185.573452,1163.253952,1185.573452,9444276,
28/01/2020,1174.24585,1178.661845,1164.694109,1170.022037,6706079,
29/01/2020,1186.389648,1192.293541,1173.333962,1176.261944,6894175,
30/01/2020,1176.981812,1189.365442,1168.485907,1189.365442,6055992,
31/01/2020,1177.221802,1188.261556,1171.413884,1182.165598,5589134,
03/02/2020,1145.0625,1150.006296,1130.56673,1149.094363,6538505,
04/02/2020,1180.581665,1184.613528,1150.0543,1150.0543,10448852,
05/02/2020,1194.83728,1198.053185,1178.181677,1185.47749,9010341,
06/02/2020,1190.181519,1198.725234,1187.68548,1194.837391,5913775,
07/02/2020,1192.485352,1197.093296,1182.309602,1196.133317,3407724,
10/02/2020,1190.661377,1193.205226,1176.981683,1193.205226,4609917,
11/02/2020,1190.949341,1204.773055,1188.501466,1193.541353,5806760,
12/02/2020,1199.013184,1202.757123,1194.261337,1195.365218,3148965,
13/02/2020,1191.717529,1209.477134,1184.229649,1209.477134,4556070,
14/02/2020,1170.549805,1198.437228,1166.373921,1193.445269,7344429,
17/02/2020,1168.437988,1183.653626,1165.845976,1175.973797,5076345,
18/02/2020,1164.694092,1169.73398,1155.3343,1168.198037,5264558,
19/02/2020,1178.085693,1180.77368,1165.318048,1173.573841,5006134,
20/02/2020,1168.390015,1180.773763,1165.510079,1180.773763,5561707,
24/02/2020,1161.526001,1166.133945,1151.974261,1160.566022,8284042,
25/02/2020,1152.262329,1160.614096,1150.054332,1155.814203,6943340,
26/02/2020,1151.254272,1156.486109,1138.198588,1149.57431,6907393,
27/02/2020,1151.446289,1154.374271,1133.734731,1147.174431,10327549,
28/02/2020,1130.518677,1137.574495,1123.270792,1128.4547,12156528,
02/03/2020,1132.390625,1153.078209,1119.478961,1152.166159,7332449,
03/03/2020,1134.502686,1137.910539,1121.254935,1127.974785,11184775,
04/03/2020,1102.87146,1132.774819,1087.751796,1131.19083,17144435,
05/03/2020,1105.271362,1118.375094,1097.01557,1106.85535,9774854,
06/03/2020,1089.479614,1095.239485,1056.93632,1079.975804,11526783,
09/03/2020,1062.984375,1073.640114,1022.377232,1065.57627,17210295,
11/03/2020,1069.224243,1075.176064,1048.296662,1060.776384,17769120,
12/03/2020,980.4260864,1036.776839,963.2904927,1031.976947,29500385,
13/03/2020,1026.985107,1038.168764,882.4123015,940.8269733,33171182,
16/03/2020,959.4986572,995.4978565,955.1787533,993.5778992,15993161,
17/03/2020,936.0751343,969.5784117,916.4916055,967.6584545,21338419,
18/03/2020,841.8052979,953.2587952,830.3815285,945.578966,30590703,
19/03/2020,859.7088013,883.1323019,763.1829673,813.1018532,33610024,
20/03/2020,847.5170898,877.9964106,791.5503488,839.9812812,44318732,
23/03/2020,740.6715088,805.1820852,734.3836604,762.7990047,25138477,
24/03/2020,736.9755859,777.5826692,709.1841936,763.4229848,30528636,
