Date,Close,High,Low,Open,Volume,Predicted Opening Price
01/01/2020,118.1867905,118.640069,117.4710852,117.6142277,2827732,
02/01/2020,118.4730911,119.2365058,117.5426756,117.6619599,2887932,
03/01/2020,119.809082,120.5724967,118.0198186,119.0456601,6762808,
06/01/2020,120.3100662,121.4074825,119.3557924,119.7613617,9133390,
07/01/2020,121.7653275,122.3140392,119.3796431,120.834912,8805574,
08/01/2020,121.5744781,122.2186086,120.5009202,121.1927672,5588820,
09/01/2020,121.0257568,122.3855997,120.54862,121.3120419,4990046,
10/01/2020,120.1192093,121.7653301,119.7613566,121.168909,4113154,
13/01/2020,121.5744781,123.0535981,120.6440627,121.1927672,13927198,
14/01/2020,122.7196045,123.268309,121.4551875,122.5526037,14593554,
15/01/2020,118.4492264,122.1470371,117.6619535,121.1927633,20280902,
16/01/2020,119.4989319,120.5247806,117.8528111,118.329948,17623672,
17/01/2020,119.809082,121.1450596,119.1172277,120.2385023,8281636,
20/01/2020,118.3299332,119.6659177,117.9482222,119.6659177,3817166,
21/01/2020,117.900528,118.4253742,117.3756745,118.2822316,3015884,
22/01/2020,117.3041,120.2146305,117.0893826,118.6162264,6800848,
23/01/2020,118.6639328,118.8547919,117.0655287,117.5903749,3393088,
24/01/2020,118.6160431,119.5023056,117.9693049,119.1190536,3421554,
27/01/2020,117.538147,118.7597522,117.2507062,118.7597522,3306994,
28/01/2020,116.9153671,117.8974481,115.837475,117.8016296,4272362,
29/01/2020,118.2088318,118.5202199,116.5321108,117.1788489,4009378,
30/01/2020,115.3105011,118.6160413,115.0709695,118.6160413,4294930,
31/01/2020,113.4421539,114.5679479,112.5798388,114.0170282,11107276,
03/02/2020,113.729599,115.0470228,112.6996161,113.8733194,8463660,
04/02/2020,115.0949249,115.5739881,113.9691236,114.496096,6329512,
05/02/2020,116.0530472,116.4123445,113.6816861,115.7416591,7751206,
06/02/2020,116.7237396,117.8255864,115.7656133,116.2925857,6112396,
07/02/2020,116.8674393,118.3285832,116.3883762,118.3285832,5519024,
10/02/2020,115.406311,117.681861,114.7116709,117.5620952,4517992,
11/02/2020,115.5739746,116.3644258,114.8793346,115.2386319,5460620,
12/02/2020,117.106987,118.4004561,115.7895633,115.7895633,6838800,
13/02/2020,116.7716293,117.7537101,116.1728005,117.7537101,4829910,
14/02/2020,116.3644333,117.5381438,115.9332794,116.7955945,3619586,
17/02/2020,116.7956009,117.3704752,115.9093311,116.3644397,2035556,
18/02/2020,116.9153671,117.2986191,115.5739888,116.7716467,2505274,
19/02/2020,118.6160431,118.9753405,117.1309443,117.1309443,3570768,
20/02/2020,117.7058182,119.0711511,117.4183847,118.8076649,4241614,
24/02/2020,116.9872055,118.7118356,116.1248905,117.3704574,7043950,
25/02/2020,116.9393234,118.1609287,116.1488648,116.9632707,5059572,
26/02/2020,114.9272461,116.6279217,114.2086514,116.4362994,7988388,
27/02/2020,110.9510269,114.4721366,110.4240545,114.4721366,9733628,
28/02/2020,106.0885239,109.9449833,105.2501634,109.4659202,11274618,
02/03/2020,105.7771301,108.7473198,104.6273743,108.1724455,11532350,
03/03/2020,107.16642,108.1724555,105.6813287,107.3101404,10346226,
04/03/2020,109.633606,110.0647599,106.5675974,107.7413006,9036356,
05/03/2020,110.0408096,112.0528735,109.5377918,109.7294215,5941556,
06/03/2020,107.0945663,108.2682696,106.6155032,107.7892064,5868566,
09/03/2020,102.7111282,105.8729477,102.0404428,105.4896957,17462228,
11/03/2020,102.0883636,102.7111399,97.5851655,97.5851655,12270332,
12/03/2020,95.38147736,99.14211875,94.61497338,97.7288839,10764010,
13/03/2020,94.56705475,97.94445113,81.08143116,95.33355865,13043196,
16/03/2020,86.11159515,92.91428994,85.53672088,92.91428994,11201148,
17/03/2020,82.92582703,88.89016127,81.8000258,85.53671951,12175374,
18/03/2020,81.41677094,85.51276183,80.72213091,84.6504468,12733198,
19/03/2020,77.77590942,82.087478,76.36266721,79.04542391,11980172,
20/03/2020,85.84811401,89.00993369,77.84776096,78.13520177,20319490,
23/03/2020,81.5125885,84.79417386,79.04541631,79.04541631,10720786,
24/03/2020,84.48278809,87.06972613,80.50656254,80.72213949,12061562,
25/03/2020,83.66837311,90.06386885,81.53654363,84.98579672,13456292,
26/03/2020,87.47692871,89.48899235,82.63838827,84.77021769,10247690,
27/03/2020,87.90808105,90.78245973,86.94995483,87.74040604,13535120,
30/03/2020,88.21946716,89.77642224,85.91997013,86.75833055,7334804,
31/03/2020,94.23171997,95.71681866,88.93807071,89.58480889,10615252,
01/04/2020,90.78247833,93.75266877,89.58482031,93.75266877,9875668,
03/04/2020,86.23136902,90.83037829,85.15347691,90.06387431,13147474,
07/04/2020,91.93222046,92.31547246,87.69251574,90.18364279,9562862,
08/04/2020,92.41127014,95.81262112,90.44711579,91.74058472,10275308,
09/04/2020,94.23171997,97.22586465,93.4412687,95.04612586,6930346,
13/04/2020,90.63874817,94.85450543,87.62064881,94.85450543,12384376,
15/04/2020,89.36923218,92.74662885,89.00993481,91.0459532,22652006,
16/04/2020,89.99201202,90.90222905,86.23136352,86.23136352,43380846,
17/04/2020,89.58480835,92.81848459,88.89016825,92.21965565,13212894,
20/04/2020,86.75834656,90.54294283,86.30323068,90.54294283,16203026,
21/04/2020,85.29719543,86.18345788,83.26117704,85.75230397,18086618,
22/04/2020,85.53672791,85.99183644,83.86000686,84.79417855,10621898,
23/04/2020,86.66252899,87.47694227,84.8420947,85.9439342,11104460,
24/04/2020,85.1534729,86.61461694,84.86603209,86.20741034,9282278,
27/04/2020,87.21343994,87.6206392,84.07557513,86.23135911,18283250,
28/04/2020,86.08763885,87.64459395,85.27323304,87.2373947,13329834,
29/04/2020,86.54275513,87.40507026,85.94392619,86.27927624,10060582,
30/04/2020,91.47710419,92.26756275,87.93203991,88.62668,17667854,
04/05/2020,91.04594421,91.64477309,87.69250249,88.38714253,17140740,
05/05/2020,88.24342346,92.93824341,87.28529724,91.71663101,13864778,
06/05/2020,89.60876465,90.06387318,86.7104311,88.96202646,10885580,
07/05/2020,88.19552612,88.81830235,86.80623864,88.14761689,11402138,
08/05/2020,88.14762878,89.10575518,87.45298861,88.72250316,8227344,
11/05/2020,88.48297119,90.99805298,88.19553766,88.62669161,8787666,
12/05/2020,89.60876465,90.06387318,87.47693507,88.24343173,7030818,
13/05/2020,90.87828827,91.7406035,88.69854923,91.7406035,10560968,
14/05/2020,89.10574341,89.75248157,87.71646324,88.50691449,10324394,
15/05/2020,88.05181122,89.10574872,87.50088419,89.10574872,6849030,
18/05/2020,87.28530884,88.62668719,86.03974897,87.21345229,14454486,
19/05/2020,88.33924103,89.10574498,85.27323982,87.30925819,11486668,
20/05/2020,88.6027298,89.05783834,87.28530611,88.62668442,15415706,
21/05/2020,90.59083557,91.83639525,87.86017004,87.86017004,14258230,
22/05/2020,90.5429306,91.42920031,89.32131817,90.56688522,9177652,
26/05/2020,90.4471283,92.55500333,88.96202954,90.54293947,11822268,
27/05/2020,96.41145325,98.44747151,89.92014649,90.8303708,36165936,
28/05/2020,95.50123596,97.48934499,93.9203262,97.48934499,24695246,
29/05/2020,101.9446335,102.9506617,93.96822814,95.50123598,61260422,
01/06/2020,103.0225296,105.8729538,102.232071,103.2381066,26749248,
02/06/2020,103.405777,104.6992459,101.0583633,103.0464796,12812554,
03/06/2020,101.25,104.1722808,100.866748,103.52555,16844202,
04/06/2020,103.5974045,105.3699366,100.6751164,101.249998,14794936,
05/06/2020,104.7950592,105.5136539,102.9985725,105.3938881,14491168,
08/06/2020,108.4838409,108.8910475,103.4057763,104.9148222,24427392,
09/06/2020,104.6034393,108.4119898,104.0285577,107.3580524,15690504,
10/06/2020,103.9566956,105.8969026,103.2860101,105.3938849,14787292,
11/06/2020,101.9925385,104.2680883,101.7290596,103.9567002,12497490,
12/06/2020,99.597229,100.363733,98.83073233,99.64513824,12418688,
15/06/2020,102.4236984,104.3878529,99.71698736,101.5374287,28511450,
16/06/2020,101.7530136,104.387861,100.4116426,104.1722841,15921712,
17/06/2020,104.3399658,104.7950744,101.1062892,101.5613978,27938908,
18/06/2020,104.5076141,105.0585411,102.8308933,103.8608833,12408426,
19/06/2020,106.3759689,107.3580498,102.9985724,104.4357618,22447354,
22/06/2020,104.4597321,106.2322644,103.8609031,105.9448236,12961806,
23/06/2020,105.6813278,106.4957337,102.0404452,102.9985714,14850298,
24/06/2020,104.5315781,107.3101458,104.2201899,107.3101458,16492172,
25/06/2020,104.5315781,106.3520195,103.1422979,103.9327491,10193692,
26/06/2020,108.0047913,110.1845302,104.5794925,105.0585557,38389012,
29/06/2020,105.2501755,108.2203656,104.7711123,106.3759768,13374148,
30/06/2020,105.2262115,106.3280582,104.4357603,105.2022642,11001386,
01/07/2020,104.9387894,106.5436466,104.6034466,105.8729611,7905234,
02/07/2020,107.4059601,108.004789,105.1783193,105.8729594,14359882,
03/07/2020,107.6934052,109.4659375,106.6634149,107.4059643,10838912,
06/07/2020,106.6633987,108.867092,106.1603883,108.2203539,15175628,
07/07/2020,107.7413025,109.4180236,106.3520222,106.9268966,18235138,
08/07/2020,106.8789825,109.0826685,106.5915418,108.5796507,14152368,
09/07/2020,106.1604004,107.5975899,105.2262214,107.4299149,13417996,
10/07/2020,106.3999252,107.0466561,105.1543582,105.8729529,9097518,
13/07/2020,109.0347672,109.7054526,106.615497,107.2861824,24694620,
14/07/2020,107.7892075,110.9989291,107.3580536,109.4180192,27877134,
15/07/2020,125.8738556,128.7242875,112.5798518,113.058915,260735176,
16/07/2020,125.4666367,128.6045091,122.1850585,125.7540775,104555854,
17/07/2020,125.2031479,126.4008057,123.1192204,123.8857243,37713024,
20/07/2020,129.7303009,131.0477246,124.0773613,125.2031627,42789980,
21/07/2020,129.9937897,134.904187,129.0596107,133.4190883,65998100,
22/07/2020,127.4308014,130.712387,126.305,130.5207646,25167708,
23/07/2020,127.7182388,128.6045086,125.7780243,128.5326374,20736656,
24/07/2020,129.6105347,130.2093636,127.2152188,127.9098663,44244246,
27/07/2020,128.7961273,130.8800549,127.9817141,129.6105259,27980494,
28/07/2020,131.957962,132.5807383,129.0117117,129.0117117,28087614,
29/07/2020,132.7004852,133.1795484,130.4728446,131.1674774,21567278,
30/07/2020,136.1018372,137.3952988,134.1855847,134.1855847,51694590,
31/07/2020,134.5927887,139.3115487,133.4669874,138.7366817,33401320,
03/08/2020,134.8802185,136.4371737,133.8981449,135.5748659,17817526,
04/08/2020,134.6407013,135.7425554,133.2993302,134.8802329,16239042,
05/08/2020,133.2753754,136.2695201,132.8921161,134.7365121,14690906,
06/08/2020,133.9700012,136.1736945,133.0597842,134.4730263,20305210,
07/08/2020,132.8920898,135.0239263,132.4130268,134.6406671,14642400,
10/08/2020,132.8920898,134.7125382,132.5088452,134.1376567,12621492,
11/08/2020,133.9700012,136.3653169,133.3232631,133.6586131,20157816,
12/08/2020,132.3172302,134.4730141,131.5267644,134.3292864,17807334,
13/08/2020,132.7004852,135.0239443,131.6465405,133.1316391,19307912,
14/08/2020,132.4609528,134.496971,132.173512,133.419079,13163422,
17/08/2020,135.0718384,137.2036603,133.0118584,133.4669742,29094008,
18/08/2020,135.4311676,137.6827558,134.9521044,136.4132413,24108414,
19/08/2020,134.0179138,136.9881111,133.7783822,136.7725269,18745042,
20/08/2020,131.3591003,133.6585972,130.8800373,133.6585972,19783530,
21/08/2020,130.9519043,133.6346606,130.6405162,133.6346606,15939272,
24/08/2020,130.6405334,131.478894,130.2572741,131.0237781,12309628,
25/08/2020,129.3231049,131.5986549,129.035664,131.4309798,15592276,
26/08/2020,130.3291168,131.5986458,128.388917,129.323096,19265334,
27/08/2020,130.4728394,131.8381721,130.0656328,130.7842274,12380336,
28/08/2020,130.3291168,131.7423589,129.9698195,131.5986458,15199568,
31/08/2020,129.9698334,135.0958152,128.3889307,131.2633098,41141934,
01/09/2020,130.1135406,133.850227,128.8679737,129.8260999,24586106,
02/09/2020,131.1195984,132.4609694,129.9219404,130.7363391,16863810,
03/09/2020,135.5029907,137.898306,131.5028112,131.9818743,49790330,
04/09/2020,132.2214203,133.8981412,131.7902664,133.5148966,21415428,
07/09/2020,133.5388336,133.8981309,130.0656263,132.4609417,16651534,
08/09/2020,135.3592834,137.4671729,133.4190836,135.191623,44589722,
09/09/2020,135.5029907,138.6648099,133.4190635,134.0418396,45588720,
10/09/2020,136.3174133,137.4192673,134.6646542,137.3234489,19035804,
11/09/2020,140.509201,142.9763877,135.3353254,135.3353254,83871852,
14/09/2020,147.1682129,147.8149365,140.4373665,140.4852758,76179084,
15/09/2020,147.2400513,149.1083945,145.036358,147.1681947,56312624,
16/09/2020,149.539566,150.1863042,145.6591514,147.0723936,29986974,
17/09/2020,149.3239746,151.7192901,147.1681907,147.192138,53623304,
18/09/2020,151.6234894,152.8211473,149.587471,150.4258315,36975462,
21/09/2020,149.4198151,155.4560145,148.4856506,151.3360679,45477692,
22/09/2020,149.5874786,151.743263,145.6112601,151.0965247,47020668,
23/09/2020,150.8330383,154.1625185,149.0604988,150.9048949,44278872,
24/09/2020,145.9705505,150.1383913,144.8926584,150.1383913,35838302,
25/09/2020,150.3779144,151.0246526,145.7310108,146.7370317,44013790,
28/09/2020,149.2521057,151.8630055,148.3179414,150.9048793,24921524,
29/09/2020,149.2281952,152.6055851,148.749132,150.9049165,29660738,
30/09/2020,150.2102509,151.3121049,148.3179601,149.4677088,24786634,
01/10/2020,149.9707184,152.2702304,149.4916552,151.5755829,18514618,
05/10/2020,159.9831543,160.965228,151.0007197,151.0007197,77811262,
06/10/2020,158.1147614,160.6298425,154.7373725,160.4861294,55159848,
07/10/2020,160.6298676,161.2286965,155.9350546,156.6536493,35479916,
08/10/2020,172.1992493,176.1754674,165.9714285,168.1511599,214540492,
09/10/2020,179.1696167,180.1756522,171.145309,173.4208589,110861504,
12/10/2020,180.8463287,181.9481681,176.8222014,180.6067972,105931918,
13/10/2020,180.1037903,182.8584033,178.6666009,180.7505138,72176286,
14/10/2020,167.8876648,174.8580269,166.8576675,174.8580269,148263902,
15/10/2020,163.6479797,169.7081258,162.3784653,168.1511706,77922358,
16/10/2020,162.7137909,166.7618802,162.2107804,164.2707461,50488458,
19/10/2020,164.4144745,165.995377,162.2347284,164.0551771,25693748,
20/10/2020,166.1151428,167.4325664,163.7677364,165.1570165,33993548,
21/10/2020,164.534256,167.7200232,162.4503282,167.4804916,19934922,
22/10/2020,165.0133057,166.8097925,163.2886754,163.360532,19082496,
23/10/2020,164.0312195,166.2828221,163.5042471,166.1870037,17346096,
26/10/2020,162.785675,165.2289004,161.3005908,164.6540333,17390338,
27/10/2020,160.0310211,162.7616866,158.5938318,162.0670393,19821156,
28/10/2020,160.7975464,162.8096175,160.1987174,160.8454556,17969178,
29/10/2020,161.6598663,162.8814715,158.6417597,159.8394176,14479922,
30/10/2020,163.2168274,165.2767932,162.1389353,162.52218,22991068,
02/11/2020,160.3903503,163.7198454,159.8633925,163.7198454,9662266,
03/11/2020,160.7975464,162.6179952,159.3603569,160.7256898,9515596,
04/11/2020,164.2947235,168.4146552,161.6838233,161.9233549,30763800,
05/11/2020,165.468399,167.1930292,164.8216609,166.6900188,11204872,
06/11/2020,165.6360779,167.1930331,164.5102766,165.8277002,10915586,
09/11/2020,168.6062927,169.0134847,166.2349241,167.6721137,14214570,
10/11/2020,163.9833069,168.0313963,163.4323872,168.0313963,18099240,
11/11/2020,166.1151428,166.594206,163.6000614,165.0372508,15275758,
12/11/2020,165.5402679,168.0074549,164.941439,166.7139785,10228848,
13/11/2020,164.8695679,165.8756033,164.1749351,165.0372429,9455776,
14/11/2020,165.4923553,166.4983762,164.3665541,166.3067539,1498484,
17/11/2020,167.0493164,167.9116242,164.6540008,166.2349033,13307668,
18/11/2020,165.4204865,168.7978902,163.7437656,167.5523231,14815616,
19/11/2020,164.1270294,167.4325621,163.6479663,166.5702543,22113702,
20/11/2020,165.8995667,166.9535115,163.8635482,164.7019087,12362786,
23/11/2020,170.4746399,171.217182,165.7558645,166.7139909,20666694,
24/11/2020,170.3069458,173.1334154,170.0674142,171.9836668,20184882,
25/11/2020,167.6721191,171.8878694,167.4565349,171.4567155,13624676,
26/11/2020,169.9955597,170.7381017,166.3307296,168.1511637,14732740,
27/11/2020,167.9116364,171.2650784,166.6421219,169.995564,24804168,
01/12/2020,169.0374451,169.5404556,165.8756252,168.9655885,21387134,
02/12/2020,171.9357452,172.6064307,169.6841574,169.8039232,18868154,
03/12/2020,172.6064301,174.3789694,171.5045908,174.3789694,21394090,
04/12/2020,172.8459625,173.6124664,171.9836548,172.9896902,14854786,
07/12/2020,171.7201996,173.7801654,171.2650837,173.420868,16784766,
08/12/2020,174.2352905,174.8580668,171.6962468,172.606464,23626602,
09/12/2020,172.2231903,176.175461,171.2650641,176.175461,36275376,
10/12/2020,170.4985657,171.5046012,168.9895197,170.6422934,13794794,
11/12/2020,169.3488312,172.4627418,168.9416246,171.2171746,11727232,
14/12/2020,167.3607025,169.8518219,166.2828105,169.3488115,23003678,
15/12/2020,168.9655762,169.5404432,166.474442,167.3367498,14463562,
16/12/2020,171.696228,171.9597215,169.2051084,169.5404439,13332544,
17/12/2020,170.9776459,172.1034473,170.3069603,171.6962406,8330742,
18/12/2020,174.1634064,175.2412985,171.2650801,171.9597275,34796162,
21/12/2020,169.5644073,176.0317599,166.8816508,173.6603914,19330126,
22/12/2020,174.4748077,175.1934025,167.4086262,169.5883577,16372078,
23/12/2020,184.7028046,185.6848929,178.0677912,179.1696306,89748866,
24/12/2020,183.0979462,185.2537304,181.3972632,185.1339646,24480344,
28/12/2020,183.4332733,185.1099943,183.0021194,183.6967668,9451758,
29/12/2020,184.4393005,187.0741477,183.5290835,183.9602374,22918252,
30/12/2020,184.1518707,185.2058155,183.3853668,184.4393115,14376870,
31/12/2020,185.0381317,185.6848699,182.6188688,182.6188688,12789210,
01/01/2021,185.924408,187.1939224,184.4632566,184.4632566,10084672,
04/01/2021,189.9006348,190.6431914,185.7806886,186.8346334,19511442,
